Time_UTC_puts,underlying_price_puts,strike,PC_puts,expiry,mark_price_puts,2000PF,1000PF,500PF,estimated_probability_2000PF,estimated_probability_1000PF,estimated_probability_500PF,Time_UTC_calls,underlying_price_calls,PC_calls,mark_price_calls,2000CF,1000CF,500CF,estimated_probability_2000CF,estimated_probability_1000CF,estimated_probability_500CF
2023-07-29 22:19:10.719,29459.94,12000,P,2023-08-25,0.00017963,-0.00012749000000000004,,,-0.0018779238753000005,,,2023-07-29 22:19:10.722,29459.94,C,0.59284696,-0.0001274700000000184,,,-0.001877629275900271,,
2023-07-29 22:19:10.725,29459.94,14000,P,2023-08-25,0.00020778,6.218e-05,,,0.0009159095346,,,2023-07-29 22:19:10.724,29459.94,C,0.52498634,6.217000000002804e-05,,,0.000915762234900413,,
2023-07-29 22:19:10.712,29459.94,15000,P,2023-08-25,0.00021264,,8.060999999999998e-05,,,0.002374765763399999,,2023-07-29 22:19:10.723,29459.94,C,0.49104681,,8.060999999998097e-05,,,0.002374765763399439,
2023-07-29 22:19:10.721,29459.94,16000,P,2023-08-25,0.00029811,2.0600000000000175e-06,,,3.0343738200000257e-05,,,2023-07-29 22:19:10.721,29459.94,C,0.45718789,2.06000000002593e-06,,,3.0343738200381947e-05,,
2023-07-29 22:19:10.714,29459.46,18000,P,2023-08-25,0.0003905,0.00025842,,,0.0038064568266,,,2023-07-29 22:19:10.724,29459.94,C,0.3893915,0.00025841999999998144,,,0.0038065188473997264,,
2023-07-29 22:19:10.718,29459.46,19000,P,2023-08-25,0.00058702,,-4.222999999999987e-05,,,-0.001244072995799996,,2023-07-29 22:19:10.714,29459.46,C,0.35564363,,-4.222999999997645e-05,,,-0.0012440729957993062,
2023-07-29 22:19:10.724,29459.94,20000,P,2023-08-25,0.00074131,4.6789999999999896e-05,-6.4600000000001245e-06,,0.0006892152962999985,-0.00019031121240000365,,2023-07-29 22:19:10.724,29459.94,C,0.32185353,4.68000000000135e-05,-6.4599999999859214e-06,,0.0006893625960001987,-0.00019031121239958523,
2023-07-29 22:19:10.720,29459.94,21000,P,2023-08-25,0.00088914,0.00033423999999999997,0.00010194000000000002,,0.004923345172799999,0.0030031462836000006,,2023-07-29 22:19:10.721,29459.94,C,0.28805697,0.00033424999999995264,0.0001019499999999618,,0.0049234924724993025,0.0030034408829988746,
2023-07-29 22:19:10.712,29459.94,22000,P,2023-08-25,0.00113891,0.00039593000000000007,0.00013682000000000017,,0.005832037022100001,0.004030708990800005,,2023-07-29 22:19:10.724,29459.94,C,0.25436236,0.00039590999999997156,0.00013681000000001498,,0.00583174242269958,0.004030414391400441,
2023-07-29 22:19:10.717,29459.94,23000,P,2023-08-25,0.0015255,0.0005693500000000002,2.0349999999999925e-05,,0.008386508419500002,0.0005995097789999978,,2023-07-29 22:19:10.720,29459.94,C,0.22080456,0.0005693300000000068,2.033999999997982e-05,,0.008386213820100099,0.0005992151795994054,
